layer_key,dataset_id,rule,confidence,status,notes
countyBoundary,county_boundary,R4,MED,verified,R4 normalized name exact match. layer_key=countyBoundary (norm=countyboundary) <=> dataset_id (norm match)
townshipBoundary,township_boundary,R4,MED,verified,R4 normalized name exact match. layer_key=townshipBoundary (norm=townshipboundary) <=> dataset_id (norm match)
villageBoundary,village_boundary,R4,MED,verified,R4 normalized name exact match. layer_key=villageBoundary (norm=villageboundary) <=> dataset_id (norm match)
contour25k,contour_25k,R4,MED,verified,R4 normalized name exact match. layer_key=contour25k (norm=contour25k) <=> dataset_id (norm match)
contourDtm20,contour_dtm20,R4,MED,verified,R4 normalized name exact match. layer_key=contourDtm20 (norm=contourdtm20) <=> dataset_id (norm match)
hillshade,hillshade,R4,MED,verified,R4 normalized name exact match. layer_key=hillshade (norm=hillshade) <=> dataset_id (norm match)
slope,slope,R4,MED,verified,R4 normalized name exact match. layer_key=slope (norm=slope) <=> dataset_id (norm match)
aspect,aspect,R4,MED,verified,R4 normalized name exact match. layer_key=aspect (norm=aspect) <=> dataset_id (norm match)
osmRoadDrive,osm_road_drive,R4,MED,verified,R4 normalized name exact match. layer_key=osmRoadDrive (norm=osmroaddrive) <=> dataset_id (norm match)
flights,opensky_flights,class_c_new_catalog,HIGH,verified,CLASS-C: OpenSky Network flight_opensky.py collector
ships,ship,hunt,HIGH,verified,hunt overrode existing (none/UNMATCHED). evidence: 中文 label 船舶 → ship.md
rail,rail,R4,MED,verified,R4 normalized name exact match. layer_key=rail (norm=rail) <=> dataset_id (norm match)
busLive,bus_realtime,class_c_new_catalog,HIGH,verified,CLASS-C: TDX RealTime bus.py + bus_intercity.py collectors
busIntercityLive,bus_realtime,class_c_new_catalog,HIGH,verified,CLASS-C: TDX RealTime bus.py + bus_intercity.py collectors
stationsTHSR,rail_stations,hunt,MED,verified,hunt overrode existing (none/UNMATCHED). evidence: 高鐵站 → rail_stations.md (THSR subset)
stationsTRA,rail_stations,hunt,MED,verified,hunt overrode existing (none/UNMATCHED). evidence: 台鐵站 → rail_stations.md (TRA subset)
stationsMetro,rail_stations,hunt,MED,verified,hunt overrode existing (none/UNMATCHED). evidence: 捷運站 → rail_stations.md (Metro subset)
busStationsCity,bus,hunt,LOW,verified,hunt overrode existing (none/UNMATCHED). evidence: 市區公車站 → bus.md
busStationsIntercity,bus,hunt,LOW,verified,hunt overrode existing (none/UNMATCHED). evidence: 公路客運站 → bus.md
bikeStations,bike,R4,MED,verified,R4 normalized name exact match. layer_key=bikeStations (norm=bike) <=> dataset_id (norm match)
highways,freeway,hunt,MED,verified,hunt overrode existing (none/UNMATCHED). evidence: 國道 → freeway.md
osmExpressway,osm_expressway,R4,MED,verified,R4 normalized name exact match. layer_key=osmExpressway (norm=osmexpressway) <=> dataset_id (norm match)
provincialRoads,road,hunt,MED,verified,hunt overrode existing (none/UNMATCHED). evidence: 省道 → road.md
cyclingRoutes,bike,hunt,MED,verified,hunt overrode existing (none/UNMATCHED). evidence: 自行車道 → bike.md
cctv,cctv,R4,MED,verified,R4 normalized name exact match. layer_key=cctv (norm=cctv) <=> dataset_id (norm match)
etcGantry,etc_gantry,R4,MED,verified,R4 normalized name exact match. layer_key=etcGantry (norm=etcgantry) <=> dataset_id (norm match)
serviceArea,service_area,R4,MED,verified,R4 normalized name exact match. layer_key=serviceArea (norm=servicearea) <=> dataset_id (norm match)
serviceAreaPolygon,service_area_polygon,R4,MED,verified,R4 normalized name exact match. layer_key=serviceAreaPolygon (norm=serviceareapolygon) <=> dataset_id (norm match)
taxiStand,taxi_stand,R4,MED,verified,R4 normalized name exact match. layer_key=taxiStand (norm=taxistand) <=> dataset_id (norm match)
ports,ports,R4,MED,verified,R4 normalized name exact match. layer_key=ports (norm=ports) <=> dataset_id (norm match)
airports,airport,hunt,HIGH,verified,hunt overrode existing (none/UNMATCHED). evidence: 中文 label 機場 → airport.md
lighthouses,light_house,hunt,HIGH,verified,hunt overrode existing (none/UNMATCHED). evidence: 中文 label 燈塔 → light_house.md
aviationControl,airspace_aip,hunt,LOW,verified,hunt overrode existing (none/UNMATCHED). evidence: 飛航管制 → airspace_aip.md
aviationRestricted,airport_safety_zones,hunt,LOW,verified,hunt overrode existing (none/UNMATCHED). evidence: 機場管制 → airport_safety_zones.md
droneNoFlyZone,airport_safety_zones,hunt,LOW,verified,hunt overrode existing (none/UNMATCHED). evidence: 無人機禁航區 → airport_safety_zones.md
droneRestrictedZone,drone_restricted_zones,R5+theme+hunt,HIGH,verified,R5 token+theme alignment. dataset theme=aviation_drone | hunt: 無人機限航區 → drone_restricted_zones.md
freewayCongestion,road_congestion,hunt,HIGH,verified,hunt overrode existing (none/UNMATCHED). evidence: 國道壅塞 → road_congestion.md
roadEvents,road_event,hunt,HIGH,verified,hunt overrode existing (none/UNMATCHED). evidence: 路況事件 → road_event.md
popCount,population,manual_fix,MED,verified,FIX: 對應 demographics/population.md
h3Population,population,class_b_fix,MED,verified,CLASS-B: population.md 主 pipeline 涵蓋 H3 網格聚合
indicators,county_indicators_yearly,manual_fix,MED,verified,FIX: 對應 demographics/county_indicators_yearly.md
socioeconomic,village_comprehensive_extended,manual_fix,LOW,verified,FIX: 對應 demographics/village_comprehensive_extended.md（社經面貌＝村里綜合）
spatialEconomy,village_comprehensive_extended,manual_fix,LOW,verified,FIX: 同 socioeconomic（空間經濟＝村里綜合衍生）
youbikeFullness,youbike_baselines,hunt,HIGH,verified,hunt overrode existing (none/UNMATCHED). evidence: YouBike 有車率 → youbike_baselines.md
weatherStations,weather,R4+hunt,HIGH,verified,R4 normalized name exact match. layer_key=weatherStations (norm=weather) <=> dat | hunt: 氣象站 → weather.md
cwaCloudImagery,cwa_satellite,class_c_new_catalog,HIGH,verified,CLASS-C: CWA File API cwa_satellite.py collector
cwaRadarImagery,cwa_satellite,class_c_new_catalog,HIGH,verified,CLASS-C: CWA File API cwa_satellite.py collector
temperatureWave,weather,manual_fix,MED,verified,FIX: 對應 weather/weather.md（CWA 溫度觀測）
aqiImagery,air_quality,manual_fix,MED,verified,FIX: 對應 environment/air_quality.md（空氣品質）
aqiStations,air_quality,class_b_fix,HIGH,verified,CLASS-B: air_quality.md 明確涵蓋 77 站即時觀測 (MOENV AQX_P_432)
aqiMicroSensors,air_quality,class_b_fix,HIGH,verified,CLASS-B: air_quality.md 明確涵蓋 LASS AirBox ~500 個微感測器
waterFacilities,water_facilities_osm,hunt,MED,verified,hunt overrode existing (none/UNMATCHED). evidence: 水利設施 → water_facilities_osm.md
waterMonitorStations,rain_gauge_stations,hunt,LOW,verified,hunt overrode existing (none/UNMATCHED). evidence: 監測站 → rain_gauge_stations.md
waterReservoirs,reservoir_storage_wra,hunt,HIGH,verified,hunt overrode existing (none/UNMATCHED). evidence: 水庫 → reservoir_storage_wra.md
groundwaterWells,groundwater_wells,R4,MED,verified,R4 normalized name exact match. layer_key=groundwaterWells (norm=groundwaterwells) <=> dataset_id (norm match)
rainGauge,rain_gauge_stations,R4,MED,verified,R4 normalized name exact match. layer_key=rainGauge (norm=raingauge) <=> dataset_id (norm match)
riverLevel,river_level_stations_wra,R5+theme,MED,verified,R5 token+theme alignment. dataset theme=water_resources
floodSensor,water.uswg_measurements,hunt,HIGH,verified,hunt overrode existing (none/UNMATCHED). evidence: 都市淹水感測 → uswg_measurements.md
iotWraRiver,river_water_level_realtime,hunt,MED,verified,hunt overrode existing (none/UNMATCHED). evidence: IoT 河川 → river_water_level_realtime.md
iotWraStructure,dam_weirs_wra,hunt,MED,verified,hunt overrode existing (none/UNMATCHED). evidence: IoT 水工結構 → dam_weirs_wra.md
taipeiSewer,storm_drainage_pipes,class_b_fix,MED,verified,CLASS-B: storm_drainage_pipes.md 含北市 dataset 145829 雨水下水道
taipeiEvacuate,civil_defense_shelters,hunt,MED,verified,hunt overrode existing (none/UNMATCHED). evidence: 北市疏散門 → civil_defense_shelters.md
taipeiPumb,pump_stations_wra,hunt,HIGH,verified,hunt overrode existing (none/UNMATCHED). evidence: 北市抽水站 → pump_stations_wra.md
waterBasins,river_basins_wra,hunt,HIGH,verified,hunt overrode existing (none/UNMATCHED). evidence: 流域 → river_basins_wra.md
waterRivers,river_polygons_wra,R5+theme+hunt,HIGH,verified,R5 token+theme alignment. dataset theme=water_resources | hunt: 河川 → river_polygons_wra.md
